supported_markets,type,score,coingecko_id
Binance,spot_market,5,binance
OKX,spot_market,5,okex
OKX_INDEX,data_vendor,3,
OKX_Fiat,data_vendor,5,
Binance_LINEAR_INDEX,data_vendor,3,
Ondo_TICKER,data_vendor,5,
Pyth,data_vendor,5,
Coinbase,spot_market,4,gdax
Bybit,spot_market,4,bybit_spot
OKX_PERPETUAL,perpetual_market,4,
Binance_LINEAR_PERPETUAL,perpetual_market,4,
Bybit_LINEAR_INDEX,data_vendor,4,
Bitstamp,spot_market,3,bitstamp
Kraken,spot_market,3,kraken
Gate,spot_market,3,gate
Crypto,spot_market,3,crypto_com
Gemini,spot_market,3,gemini
Bitfinex,spot_market,3,bitfinex
Kucoin,spot_market,3,kucoin
Mxc,spot_market,3,mxc
Bitget,spot_market,3,bitget
BTCTurk,spot_market,3,btcturk
Bitmart,spot_market,3,bitmart
BingX,spot_market,3,bingx
Bitvavo,spot_market,3,bitvavo
OKX_FUTURE,expiry_future_market,3,
OKX_DEX,data_vendor,3,
Hyperliquid,spot_market,3,hyperliquid-spot
Bybit_LINEAR_PERPETUAL,perpetual_market,3,
Aster,spot_market,3,aster-spot
Binance_INVERSE_PERPETUAL,perpetual_market,3,
Bybit_INVERSE_PERPETUAL,perpetual_market,3,
Hyperliquid_LINEAR_PERPETUAL,perpetual_market,3,
OKX_DEX_POOL,DEX,3,
Lighter,spot_market,3,lighter-spot
Gate_LINEAR_INDEX,data_vendor,3,
Gate_LINEAR_PERPETUAL,perpetual_market,3,
Binance_alpha_CLOB,?,3,
Bitget_LINEAR_PERPETUAL,perpetual_market,3,
Mxc_LINEAR_PERPETUAL,perpetual_market,3,
dxFeed,data_vendor,3,
dxFeed-Forex,data_vendor,3,